index,id,title,type,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes
202,tm189773,Maya Memsaab,MOVIE,1993,PG-13,126,tt0137100,5.4,2177
203,tm7032,Out of Life,MOVIE,1991,,97,tt0102058,6.9,365
204,tm58893,Duplicate,MOVIE,1998,PG,165,tt0164550,5.5,7557
205,tm340430,Govindha Govindha,MOVIE,1993,,145,tt0192087,6.6,351
206,tm184326,Damini,MOVIE,1993,,180,tt0106655,7.8,3490
207,tm110225,English Babu Desi Mem,MOVIE,1996,PG,172,tt0136153,4.5,2322
208,tm34391,Before the Flying Circus,MOVIE,2000,,55,tt9230920,7.3,161
209,tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,,72,tt0249934,6.6,272
210,tm118438,Anjaam,MOVIE,1994,,146,tt0109134,6.6,6465
211,tm62176,Mann,MOVIE,1999,,174,tt0206921,6.1,5413
212,tm57169,Monty Python: Live at Aspen,MOVIE,1998,,58,tt0287570,7.8,1092
213,tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,59,tt0938331,7.8,166
214,tm44776,The Other,MOVIE,1999,,106,tt0196355,5.9,987
215,tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,,56,tt0938333,6.7,115
216,tm203186,Children of Shatila,MOVIE,1999,,50,tt0243174,8.2,74
217,tm256669,Gumrah,MOVIE,1993,,149,tt0107060,6.1,784
218,tm117840,The Emigrant,MOVIE,1994,,129,tt0110545,6.5,998
219,tm334788,Yodha,MOVIE,1991,,142,tt0267130,4.5,198
220,tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,160,tt0139872,7.9,2528
221,tm192301,Minsara Kanavu,MOVIE,1997,G,145,tt0282003,6.7,1212
222,tm110766,Chronicle of a Disappearance,MOVIE,1996,,88,tt0115895,6.9,718
223,tm118256,Yaar Gaddar,MOVIE,1994,,147,tt0111780,3.6,142
224,tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,,55,tt0938332,6.2,65
225,tm314602,Dushmani,MOVIE,1995,,156,tt0112916,5,248
226,tm25389,Fiza,MOVIE,2000,,170,tt0248012,6,4168
227,tm42397,Hello Brother,MOVIE,1999,,131,tt0233856,4.6,4230
228,tm449775,Shikari,MOVIE,1991,,162,tt0170416,5.9,66
229,ts4,Breaking Bad,SHOW,2008,TV-MA,48,tt0903747,9.5,1727694
230,ts9,The Walking Dead,SHOW,2010,TV-MA,46,tt1520211,8.2,945125
231,ts26091,The Staircase,SHOW,2004,TV-MA,49,tt0388644,7.8,21531
232,ts11,Downton Abbey,SHOW,2010,TV-14,58,tt1606375,8.7,197744
233,ts21469,Grey's Anatomy,SHOW,2005,TV-14,49,tt0413573,7.6,293618
234,ts288536,The Great British Baking Show,SHOW,2010,TV-PG,57,tt1877368,8.6,9564
235,ts6495,Criminal Minds,SHOW,2005,TV-14,44,tt0452046,8.1,189191
236,ts22337,NCIS,SHOW,2003,TV-14,44,tt0364845,7.8,141049
237,ts8308,Community,SHOW,2009,TV-PG,23,tt1439629,8.5,252564
238,ts22011,Heartland,SHOW,2007,TV-PG,44,tt1094229,8.4,15743
239,ts21465,Supernatural,SHOW,2005,TV-14,45,tt0460681,8.5,428639
240,tm33545,Forgetting Sarah Marshall,MOVIE,2008,R,111,tt0800039,7.1,280121
241,tm172683,War of the Worlds,MOVIE,2005,PG-13,117,tt0407304,6.5,439027
242,ts17156,Arrested Development,SHOW,2003,TV-MA,28,tt0367279,8.7,297552
243,ts20573,The IT Crowd,SHOW,2006,TV-14,25,tt0487831,8.5,147409
244,ts12724,30 Rock,SHOW,2006,TV-14,25,tt0496424,8.3,121514
245,ts3371,Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,tt0417299,9.3,297336
246,tm92641,Inception,MOVIE,2010,PG-13,148,tt1375666,8.8,2268288
247,tm102740,The Other Guys,MOVIE,2010,,107,tt1386588,6.6,263019
248,tm87484,How to Train Your Dragon,MOVIE,2010,PG,98,tt0892769,8.1,719717
249,ts20604,Friday Night Lights,SHOW,2006,TV-14,43,tt0758745,8.7,64449
250,tm39030,Casino Royale,MOVIE,2006,,139,tt0381061,8,644336
251,tm78592,Michael Clayton,MOVIE,2007,R,120,tt0465538,7.2,163878
252,ts21511,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,tt1751105,7.6,20708
253,ts19036,The Fairly OddParents,SHOW,2001,TV-Y7,24,tt0235918,7.2,38046
254,tm116324,Jackass: The Movie,MOVIE,2002,R,88,tt0322802,6.6,92305
255,ts32186,Sonic X,SHOW,2003,TV-Y7,21,tt0367413,6.1,4577
256,ts11313,DEATH NOTE,SHOW,2006,TV-14,24,tt0877057,9,302147
257,tm34310,Zoolander,MOVIE,2001,PG-13,90,tt0196229,6.5,260975
258,ts21247,The Vampire Diaries,SHOW,2009,TV-14,42,tt1405406,7.7,310776
259,tm160815,Charlie and the Chocolate Factory,MOVIE,2005,PG,106,tt0367594,6.6,465995
260,tm78671,Cleaner,MOVIE,2007,R,88,tt0896798,6.1,41052
261,tm89036,Harold & Kumar Go to White Castle,MOVIE,2004,R,88,tt0366551,7,193053
262,tm86803,The Social Network,MOVIE,2010,PG-13,121,tt1285016,7.8,681286
263,tm105329,Road to Perdition,MOVIE,2002,R,117,tt0257044,7.7,263212
264,ts20305,Naruto,SHOW,2002,TV-PG,23,tt0409591,8.4,93980
265,tm35463,Blow,MOVIE,2001,R,124,tt0221027,7.5,255099
266,tm84371,Shooter,MOVIE,2007,R,124,tt0822854,7.2,329417
267,tm139658,Big Fish,MOVIE,2003,PG-13,125,tt0319061,8,435503
268,tm79442,The Bourne Ultimatum,MOVIE,2007,PG-13,115,tt0440963,8,627009
269,tm131038,Public Enemies,MOVIE,2009,R,143,tt1152836,7,297525
270,ts2230,America's Next Top Model,SHOW,2003,TV-14,44,tt0391576,5.6,17843
